par_nr	head	sentence
67	NA	 Jah , kuid uue aasta võtsin ma seekord siiski linnas vastu , sest ema oli uue kodu pärast nii elevil ja tahtis kangesti , et aitan tal kardinariiet ja muud seesugust valida . 
67	NA	 Lõppkokkuvõttes pidin siis ka aastavahetuseks linna jääma , et saaksime üle hulga aja veidi pikemalt koos olla . 
67	NA	 Too koosolemise mõte mulle muidugi meeldis . 
67	NA	 Kuid just siis , kui lootsin , et tuleb kena perekondlik koosviibimine ja pärast seda , kui paps on lõpuks magama läinud , saame emaga kas või hommikuni juttu ajada ja piparkooke krõbistada , vajus terve suguselts uksest sisse , verivorstirõngad ümber kaela . 
67	NA	" "" Sa issaristike ! "" oleks selle peale hüüatanud tädi Klara . "
67	NA	 Inimesed kohe peavad mööda ilma ringi kolistama . 
67	NA	 See , kes ütles , et tema kodu on tema kindlus , pidi küll kilomeetripaksuse müüri taga elama ja isiklikku sõjaväge pidama . 
67	NA	 Ei , ma pole absoluutselt inimvaenulik inimene — enamasti — , aga kutsumata külalised , kes eeldavad , et sa oled neid nähes rõõmust ogar , kui nad kogu oma keldri sisu su söögilauale tassivad ja selle eest üht korralikku süldipidu ja takkapihta veel öömaja loodavad saada , tekitavad küll isu võtta oma seitse asja ja hakata jalgsi läbi tuisu ja lume Viljaküla poole kõmpima . 
67	NA	 Sellest retkest ei tõotanud aga kõva pakase tõttu midagi välja tulla ja nii pidin ma südame kõvaks tegema ning arendama seltskondlikku vestlust sellest , millised numbrid mu tunnistusel ilutsevad ja kas mul ikka kavaleri on . 
67	NA	 Millest muust tulekski täiskasvanuil pähe ühe viieteistaastasega rääkida . 
67	NA	 See , et onupoeg Kaarel oli aga kaasa kutsunud oma sõbra Kristjani , tegi tollest õhtust eriti kurnava aastavahetuspeo . 
67	NA	 Too lakutud juustega ja äärmiselt ebaviisakas tüüp , kes peale kauba oli ilmselt terve pudeli kõige vängemat odööri enesele krae vahele kallanud , käis mul õhtu otsa kannul kui uni . 
68	NA	" "" Sul nimi ka on või ? "" päris ta norival toonil , olles istunud minu kõrvale laua äärde ja kallates parajasti tervet kausitäit pohlamoosi oma verivorstile kaela . "
69	NA	" "" Loviise Barbara Adelheid I , "" vastasin mina , teades päris kindlalt , et mu päris nimi on mitmekordse esitlemise järel talle juba pealuusse kulunud . "
70	NA	" "" Ohoo ! "
70	NA	" Päris kuninglik suguvõsa teil , "" kostis too Kristjan seepeale ja irvitas . "
70	NA	" "" Kas kosilasi on kah juba silmapiiril ? "" "
71	NA	" "" Nii et tapab , kuid ükski neist pole siiani suutnud kuud taevast alla tuua ja seetõttu olen neil soovitanud oma kandidatuuri maha võtta . "" "
72	NA	" "" Preili Barbaaral on õige suured nõudmised , "" noris Kristjan minu niinimetatud nime venitades . "
72	NA	" "" Aga kas kaasavara on ikka piisavalt suur , et su terav keel tähelepanuta jätta ja printsi kohale kandideerida ? "" "
73	NA	" "" Üheksakümmend üheksa pitslinikut , üks kuldrubla ja rääkiv papagoi , "" teadustasin mina ja vaatasin toas ringi , lootes leida kedagi , kes mind tolle tüübi käest päästaks . "
73	NA	 Paps , vastupidiselt minule , oli kaela sadanud suguseltsi üle rõõmust ogar ja esitles uhkelt oma uut eurostandardi järgi ehitatud maja . 
73	NA	 Emps saalis suguseltsi naisliikmete eskordi saatel kohvikannuga toa ja köögi vahet . 
73	NA	 Tõusin otsustavalt laua tagant püsti , et minna oma suurde isikliku vannitoaga eraklasse . 
73	NA	 Too Kristjan polnud aga härrasmehelikust käitumisest poolt sõnagi kuulnud ja tuli mulle järele . 
73	NA	 Kui ma tal ukse nina ees kinni lõin , ei paistnud ta ikka mõikavat , et tahan üksi olla . 
74	NA	" "" Pitslinikud just paljudele huvi ei paku , aga kui too papagoi riigisaladusi teab , siis võib tema abil kosilasi ligi meelitada küll , "" ütles ta mulle läbi ukse . "
75	NA	 Panin muusika mängima , kuid õige pea kostus muusika vahele intensiivne koputamine uksele . 
75	NA	 No on pealetükkiv tüüp , mõtlesin mina ja avasin ukse . 
76	NA	" "" Kas preili on miskipärast minu peale pahane või ? "" küsis Kristjan ja vaatas mulle suurte andekspaluvate silmadega otsa . "
76	NA	" "" Ma enam ei tee , mis iganes see ka oli , mis ma tegin . "" "
77	NA	" "" Ah , hea küll , kui sa juba siin oled , eks astu siis sisse , "" lõin ma käega ja vaatasin kella . "
77	NA	 Aasta lõpuni oli veel kolmveerand tundi . 
77	NA	 Kristjan loivas tuppa ja prantsatas pikema jututa tugitooli . 
78	NA	" "" Kus Kaarel on ? "" pärisin jutu jätkuks . "
79	NA	" "" Tõenäoliselt peab ta praegu su suguseltsile surmigavat loengut poliitilisest olukorrast riigis ja võib-olla on mõne uue parteigi kokku pannud . "
79	NA	 Ta on meil ju selline poliitagitaator . 
79	NA	 Lõpetab kevadel keskkooli ära ja kui ta asja tõsiselt käsile võtab , siis on ta varsti mõni minister või koguni president . 
79	NA	" Nii et hoia onupojaga sooje suhteid , võib edaspidi kasuks tulla . "" "
79	NA	 Kristjan pilgutas mulle silma ja irvitas . 
79	NA	 Ja siis sain ma kuulda säärast kriitikat oma muusikalise maitse , tädi Klara kootud kampsuni ja lõpuks koguni kolkaküla patriotismi kohta , et kahetsesin oma hetkelist leebumist nii kibedasti , kui üldse saab . 
80	NA	" "" Ega sa ometi solvunud ? "" küsis Kristjan lõpuks ilmsüütu näoga ja haigutas laialt . "
81	NA	" "" Sinu matslik käitumine tuleb tõenäoliselt sellest , et sa pole harjunud , et leidub ka mõni tüdruk , kes sind nähes vaimustusest ei kiljata ja kohemaid sulle kaela ei lange , kui sa oma vasikasilmi plaksutad , "" ütlesin mina ja haigutasin samuti demonstratiivselt . "
81	NA	" "" Sa püüad mind solvata , et oma enesetunnet tõsta . "" "
82	NA	 Kristjan jäi minu ootamatu rünnaku peale hetkeks vait . 
82	NA	" "" Kas su suguseltsis on mõni psühholoogiaprofessor , et sa psühhoanalüüsis nii tugev oled ? "" küsis ta siis . "
83	NA	" "" Ma olen ise nii andekas , "" vastasin nagu muuseas . "
84	NA	" "" Su kosilased pagevad kõigi nelja tuule poole , kui sa nendega säärast tarka juttu hakkad ajama . "" "
85	NA	" "" Tõesti või ? "" ajasin silmad imestusest suureks . "
85	NA	" "" Üks käib mul juba mitmendat tundi kannul ja ei ilmuta vähimatki märki , et tal oleks vastu ööd isu silmapiiri poole liduda ja tervitada aasta esimest päeva kuu poole uludes . "" "
85	NA	 Naeratasin oma kõige võluvamat naeratust ja märkasin , et Kristjani iroonilised kommentaarid olid selle jutu peale äkki otsas . 
86	NA	" "" Kell on mõne minuti pärast kaksteist , "" ütles ta hoopis . "
86	NA	 Elutoas avati juba šampanjapudeleid . 
86	NA	 Kristjan väljus toast ja tuli hetke pärast klaasidega tagasi . 
86	NA	" "" Kas preili võtab ka lonksu või mõjub see ta teravale keelele tuimestavalt ? "" küsis ta siis noriva tooniga . "
87	NA	" "" Magades ei lähe seda tarvis , kui sa just mu unenägudesse sisse ei astu ja o m a terava keele kuritarvitamist ei jätka . "" "
88	NA	 Kell lõi kaksteist . 
88	NA	 Läksin elutuppa ema-isa kallistama , rehkendades samas , mis kell läheb 1. jaanuari hommikul esimene buss Viljakülla . 
89	 5 . 	 5 . 
90	NA	 Otse loomulikult käisime tol korral , kui tädi Klara ka koos minuga linna tuli , külas tädi Martal ja onu Victoril . 
90	NA	 No on neil ikka tõepoolest pirakas häärber , nagu loss kohe ! 
90	NA	 Tädi Marta hõljus meile uksele vastu sulgedega negližees , papiljotid peas ja silmnägu porgandimehu täis . 
90	NA	" "" Mõjub jumele hästi , "" selgitas ta tolle löga laiutamise vajadust oma näol , kui tädi Klara teda esimesel hetkel ära ei tundnud . "
90	NA	 Sellest , kuidas tolles majas istuda või astuda , sai aga meie visiidi suurim mure . 
90	NA	 Mul oli tunne , nagu oleks me muuseumis , kus midagi näpuotsagagi puutuda ei tohi , rääkimata tarvitamisest selleks , milleks nood eksponaadid olid loodud . 
90	NA	 Onu Victor oli tol korral jälle mingil ärireisil , tädi Marta aga ootas üht kuulsat külalist . 
90	NA	 Meie ootamatu visiit ei paistnud teda just väga rõõmustavat , kuid kaugelt tulnud vanu tuttavaid ta siiski ukselt tagasi ei saatnud . 
90	NA	 Tõenäoliselt turgatas talle viimasel hetkel pähe , et ka meie peame oma ihusilmaga tema kuulsat külalist nägema . 
90	NA	 Ja kuna ta ilmselt ei osanud samas toda külalist m e i e nägemisest säästa , siis istusimegi varsti kui puped pulksirgelt sametisel kanapeel ja ootasime etenduse algust . 
90	NA	 Paarikümne minuti pärast too kuulsus saabuski . 
90	NA	 Kui Raimond Ruudi — kirjanik ja luuletaja täies aus ja hiilguses — tuppa astus , püüdsin ruttu meelde tuletada , kas mina , ülisuur raamatufänn , olen temast midagi kuulnud või ta teoseid lugenud , kuid esimese hooga ei meenunud mulle midagi . 
90	NA	 Temale ei paistnud minu raamat ka meenuvat , kuid see oli muidugi igati loomulik . 
90	NA	 Kirjanikuhärra , vanuses vast kusagil kolmekümne ligi , oli väga napisõnaline , vaatas meid tädi Klaraga üleoleval pilgul , ülbe muie suunurgas , jõi tassitäite kaupa kohvi ja kuulas teeseldud tagasihoidlikkusega tädi Marta kiidukõnet oma romaani kohta , kõrvad samas tollest ülistuslaulust õhetamas . 
90	NA	 Meie tädi Klaraga istusime hiirvaikselt ja mõtlesime ilmselt mõlemad , et mida küll oleks sobiv öelda , kui jutujärg meie kätte peaks sattuma . 
91	NA	" "" Tänavu see kevad naa varajane , "" poetas lõpuks tädi Klara , kui toas oli hetkeks vaikseks jäänud . "
91	NA	" "" Tea , kas teeb juunis tagasi ? "
91	NA	" Üks aasta istusime jaanitule ümber , vatijoped selgas . "" "
92	NA	 Tädi Marta vaatas meid pilgul , nagu näeks ta enda ees äkki issanda ilmutisi , selliseid kodukootuid , kelle intelligentsitase on alla igasugust arvestust . 
92	NA	 K u u l s a kirjaniku juuresolekul ei sobi ju ometi rääkida ilmast . 
92	NA	 Autogrammi küsimine , vaat see oleks olnud strateegiliselt õige käik ! 
92	NA	 Noh selleks , et saada enesele k u u l u s tuttav . 
92	NA	 Selleks , et saaks külarahvale rääkida , kuidas me kirjanikuhärrat oma ihusilmaga nägime ja temaga kogunisti juttu puhusime . 
92	NA	 Aga mida sa hing räägid inimesega , kes sihukeste maatolgustega parema meelega ühes ruumis ei viibiks ? 
92	NA	" Võib-olla küsiks Chrisi kombel : "" Hei , härra , mistarvis teie ennast ja oma kaaskondseid enese nii tähtsaks pidamisega kihvtitate ? "" "
93	NA	 Lõpuks loivas härra Raimund tädi Marta häärberist meiega hüvasti jätmata minema . 
93	NA	 Tundsin end äkki nii vaimselt kui ka füüsiliselt väga väsinuna . 
93	NA	 Too läikiv , peenutsev , tarbetuid asju täis palee mõjus mulle tondilossina ning tekitas tohutu koduigatsuse — igatsuse selle lihtsa , sooja ja loomuliku keskkonna järele , mis mind Viljakülas ümbritseb . 
94	 6 . 	 6 . 
95	NA	 Räägin nüüd loo veidrast vanapaarist , kes kolis meie külla aasta tagasi . 
96	NA	 Loreida ja Villi Mesikäpp ilmusid ühel päeval välja ei tea kust . 
